Video ID,Title,Duration,Uploaded Date,Views,Likes,Dislikes,Comments,Shares,Keywords
EU7jwhplR2k,BMW BERLIN-MARATHON 2023: A Day to Remember | adidas,0:00:32,2023-10-03T08:22:05Z,405,30,N/A,0,0,"adidas, Berlin marathon 2023, running, running 5K, running race, running competition, adidas Running, running half marathon, running marathon, running motivation, running 10K, running workout, running inspiration, marathon training, marathon teaser, running fitness, adidas running"
N_c1p-k9-_c,From Unknown to Unstoppable: Gerda Steyn's Legacy | adidas,0:01:49,2023-09-29T16:00:16Z,1379,59,N/A,4,0,"adidas, gerda steyn, gerda steyn 2023 comrades, gerda steyn 2023 two oceans, gerda steyn 2023, gerda steyn training, gerda steyn comrades, gerda steyn interview, gerda steyn two oceans, ultra marathon, ultra runner, south african athlete, adidas running, gerda steyn age, gerda steyn training program, ultra marathon training, trail running, running, gerda steyn instagram, gerda steyn biography"
GAZgqfAyXI0,Come with me on a 15k | adidas,0:00:44,2023-09-28T14:00:16Z,1224,62,N/A,2,0,"adidas, running, running music, running a marathon, running a 10k, running a 15k, adidas running, running motivation, running warm up, running benefits, runners, running groups, best running music, music for running, running tips, running motivation music, running training, running music mix, best running music motivation 2022, music running, how to start running"
iXkQbs3vwbE,Bringing adidas nails to life,0:00:31,2023-09-24T16:00:28Z,1939,81,N/A,1,0,"adidas, nail art, easy nail art, nail art compilation, nail art 2023, simple nail art, nail art ideas, nail art design, nail art designs, new nail art, diy nails, simple nail art designs at home, nails, how to file nails, round nails, perfect nails"
BvDyzw1B-K8,5 outfits to wear with adidas Sambas,0:01:00,2023-09-23T16:00:15Z,1844,66,N/A,1,0,"adidas, sambas, adidas samba, adidas samba og, how to, fashion tips, grwm, get ready with me, grwm first day of school, morning routine, first day of school grwm, outfit ideas, summer outfits, sneakers, best sneakers 2023, sneaker shopping, what to wear with samba, how to wear sambas, adidas sambas, adidas shoes"
Nth7iRVFzwI,Styling adidas Spezials for a festival vibe ✨,0:00:14,2023-09-22T16:00:27Z,1690,83,N/A,1,0,"adidas, grwm, get ready with me, college grwm, school grwm, morning routine, senior year grwm, grwm for high school, grwm senior year, how to style, find your style, create authentic style, look expensive on a budget, how to look rich, a small wardrobe, inspiring personal style, style hacks, adidas spezials, sneakers, adidas originals, spezial, trainers, adidas gazelle indoor"
7ZwCzKMqPrY,India Cricket World Cup: 3 Ka Dream | adidas,0:02:22,2023-09-20T07:30:07Z,15576703,56331,N/A,2608,0,"adidas, adidas cricket, cricket world cup, india, india cricket, india cricket world cup, indian cricket highlights, indian cricket team, indian cricket news, indian cricket song, indian cricket, Rohit Sharma, Indian Cricket team jersey, Virat Kohli, adidas cricket world cup film, 3 ka dream, adidas ODI Jersey, adidas training kit, Raftaar, team india, cricket"
m4NkBxqxXX8,Bonded By Blood & The Black | adidas,0:00:19,2023-09-07T07:00:20Z,1193,80,N/A,0,0,"adidas, adidasRugby, Rugby, AllBlacks, BeaudenBarrett, bonded by blood, new zealand, new zealand rugby, all blacks rugby, all blacks highlights, rugby union"
F5PBK67mLho,Legacies Don’t End - They’re Passed On | adidas #shorts,0:00:19,2023-09-06T08:00:05Z,2027,111,N/A,0,0,"adidas, adidasRugby, Rugby, SamWhitelock, AllBlacks, all blacks rugby, rugby highlights, rugby league, all blacks highlights, new zealand, new zealand rugby"
WKWUJ--Y05A,This is New Rugby | adidas,0:01:00,2023-09-06T07:40:19Z,81165,504,N/A,0,0,"adidas, rugby, rugby world cup, rugy world cup 2023, rugby highlights, rugby world cup fantasy, rugby world cup preview, adidas rugby, antoine dupont, rw23, Romain Ntamack, Damian Penaud, Cameron Woki, Cyril Baille, paris"
_H8Z_bbuAjU,A Hometown Story - All Blacks Leagcy | adidas #Shorts,0:00:20,2023-09-05T07:30:15Z,832,64,N/A,0,0,"adidasRugby, Rugby, adidas, AaronSmith, adidas rugby boots, adidas rugby commercial, adidas rugby boots review"
2d-1ZrCmdCc,Pressure Is A Privilege For Sam Cane,0:00:23,2023-09-03T08:00:02Z,1010,76,N/A,0,0,"adidas, adidasRugby, Rugby, SamCane, sam cane, sam cane interview, sam cane highlights, all blacks, all blacks rugby, all blacks highlights, rugby highlights, rugby league"
MCiOL-AKva8,Caleb Clarke Is Writing His Own Story | adidas,0:00:33,2023-09-02T08:00:16Z,1489,88,N/A,0,0,"adidas, rugby, adidas rugby, caleb clarke, caleb clarke rugby, caleb clarke rugby new zealand, new zealand new kit, new zealand, new zealand rugby kit, all blacks, all blacks new kit, all blacks adidas, rugby union, new zealand rugby, rugby highlights"
r_rw9_wZtYA,The Positive Period Change  | adidas,0:00:21,2023-09-01T15:00:44Z,840,50,N/A,3,0,"adidas, period, period health, period pain, female health, stigma, health, female doctors, period education, women health, female menstruation, period cycle, female athletes"
6AeI6ZQeXQA,Changing Stigma Around Periods | adidas,0:00:22,2023-08-31T08:24:05Z,652,38,N/A,1,0,"adidas, period, periodhealth, periodpain, femalehealth, periodstigma, stigma, female, heath, femalesports, femaleathletes, femalemenstration, womenshealth"
