Video ID,Comment
N_c1p-k9-_c,🤙
N_c1p-k9-_c,Me first
N_c1p-k9-_c,💯
GAZgqfAyXI0,We love long runs!!
GAZgqfAyXI0,I was expecting ‘Ram Ram Sareyano’
iXkQbs3vwbE,Legendary Logo❤️
BvDyzw1B-K8,Your talking to much. Just show. Just do it
Nth7iRVFzwI,hey adidas today I found dodo birds in among us
7ZwCzKMqPrY,@adidas where is tricolour stripes?
7ZwCzKMqPrY,Raftaaaaar&gt;&gt;&gt;&gt;&gt;&gt;&gt;
7ZwCzKMqPrY,why there is a dream11 logo on the front no other country team done it why so much for sponsors.
7ZwCzKMqPrY,Where is tricolour strip jersey ? Indian players not wearing tricolour strip jersey in photoshoot session. Seems like it was just a publicity staunt.
7ZwCzKMqPrY,Yaah it will be tough for team india but we believe  in blue <br>Let&#39;s goo team indian
7ZwCzKMqPrY,@adidas where are those Tricolor strips on WC kits?
7ZwCzKMqPrY,Emiway bantai hota jab mja aata
7ZwCzKMqPrY,Was the tri-colour strip was only for promotion.. Really ❓
7ZwCzKMqPrY,Adidas should have taken better rapper with genuine lyrics and not with any filthy to write lyrics about Indian Cricket World Cup song/rap but at least Team India and Adidas have its reputation don&#39;t spoil it!<br>Jaan Nahi Hai Gaane Me!
7ZwCzKMqPrY,Go India we men blue
7ZwCzKMqPrY,"<a href=""https://www.youtube.com/watch?v=7ZwCzKMqPrY&amp;t=2m06s"">2:06</a> Goosebumps 🔥🔥"
7ZwCzKMqPrY,Where is the tri colour stripes on indian world cup jersey? Players are wearing normal white colour stripes world cup jersey during shooting videos and clicked photos.
7ZwCzKMqPrY,Ye jersey to pahne  hi ni yr
7ZwCzKMqPrY,Are bhai warm up match me India ne ye Jersey kiu nahi pehna hai ???
7ZwCzKMqPrY,Goosebumps aa gaye bhai
7ZwCzKMqPrY,Where is this try colourJersey?
7ZwCzKMqPrY,Where is tri colour strips on shoulder in world cup jersey
7ZwCzKMqPrY,They changed the jersey to white stripes again? What rubbish i don’t understand
7ZwCzKMqPrY,Jaa puch ke aa
7ZwCzKMqPrY,"Bas advertising hi karo bhosadi walon reality to sabko pata hai. you all play for <a href=""http://money.you/"">money.you</a> all are good chokers and bada panv chokli"
7ZwCzKMqPrY,World Cup ke warm up match me India ki jersey pe tricolour stripes kha hai
7ZwCzKMqPrY,"no tri colour strips on odi worldcup jersey , bt why?"
7ZwCzKMqPrY,This time not sapna this world cup is apna
7ZwCzKMqPrY,❤
7ZwCzKMqPrY,"Going to be nostalgic about it after in 2024,2025,2026,2027"
7ZwCzKMqPrY,গাঁজা খেয়ে গন বানাইছে😂
7ZwCzKMqPrY,গানের টেইলর মনে হয়।<br>ক্রিকেট কোন বালাই নাই।
7ZwCzKMqPrY,Tui ki kheye comment korchis😂
7ZwCzKMqPrY,Raa always gives goosebumps 👑🔥
7ZwCzKMqPrY,Bangladesh 😢
7ZwCzKMqPrY,Pakistanis hoping india dont win<br><br>👇
7ZwCzKMqPrY,Ghanta like milega isko
7ZwCzKMqPrY,Like nahi milra 😂
7ZwCzKMqPrY,Good to go India 🥇💞👍🏻🇮🇳🏆
7ZwCzKMqPrY,Raftaar❤❤ mad respect+++++++++❤❤❤❤
7ZwCzKMqPrY,Literally goosebumps ❤
7ZwCzKMqPrY,India World Cup winner 2023🏆
7ZwCzKMqPrY,This song Absolutely better than icc cwc 2023 anthem
7ZwCzKMqPrY,India से बडा तो dream 11 lag raha hai aisa lag raha hai ki team India ki नहीं dream 11 की है<br>ये गलत है किसी भी देश की Jersey पर देख लो केवल सेंटर में देश का ही नाम है और हमारी इंडिया से ऊपर ब्रांड का नाम लिखा है
7ZwCzKMqPrY,Isko official song bana dalo 2023 ka👍
7ZwCzKMqPrY,Icc ka theme song tatti hai<br>Ee song gold hai❤
7ZwCzKMqPrY,❤
7ZwCzKMqPrY,Raftar 🔥🔥🔥🔥🔥
7ZwCzKMqPrY,Adidas&gt;&gt;&gt;icc
